"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19988804,331739,12809,"ms003_paden_0_4_ora fine sandy loam, 5 to 12 percent slopes, severely eroded_c468_severely eroded",1319249,12809,331739,184053,4,"MS"
19988805,331739,12809,"ms003_ruston_0_4_ora fine sandy loam, 5 to 12 percent slopes, severely eroded_c468_0",1421367,12809,331739,184053,4,"MS"
19988806,331739,12809,"ms003_ora_1_85_ora fine sandy loam, 5 to 12 percent slopes, severely eroded_c468_severely eroded",385059,12809,331739,184053,85,"MS"
19988807,331739,12809,"ms003_shubuta_0_3_ora fine sandy loam, 5 to 12 percent slopes, severely eroded_c468_0",1319257,12809,331739,184053,3,"MS"
19988808,331739,12809,"ms003_providence_0_4_ora fine sandy loam, 5 to 12 percent slopes, severely eroded_c468_severely eroded",1319250,12809,331739,184053,4,"MS"
19988809,331740,12809,"ms003_ruston_0_10_ora-shubuta complex, 8 to 12 percent slopes_c469_0",1421391,12809,331740,184054,10,"MS"
19988810,331740,12809,"ms003_ora_1_55_ora-shubuta complex, 8 to 12 percent slopes_c469_0",385060,12809,331740,184054,55,"MS"
19988811,331740,12809,"ms003_shubuta_1_35_ora-shubuta complex, 8 to 12 percent slopes_c469_0",385061,12809,331740,184054,35,"MS"
19988544,331741,12809,"ms003_bude_0_10_paden silt loam, 0 to 2 percent slopes_c46b_0",1319268,12809,331741,184055,10,"MS"
19988545,331741,12809,"ms003_paden_1_90_paden silt loam, 0 to 2 percent slopes_c46b_0",385062,12809,331741,184055,90,"MS"
19988666,331742,12809,"ms003_bude_0_4_paden silt loam, 2 to 5 percent slopes_c46c_0",1319270,12809,331742,184056,4,"MS"
19988667,331742,12809,"ms003_ora_0_4_paden silt loam, 2 to 5 percent slopes_c46c_0",1319272,12809,331742,184056,4,"MS"
19988668,331742,12809,"ms003_providence_0_7_paden silt loam, 2 to 5 percent slopes_c46c_0",1319273,12809,331742,184056,7,"MS"
19988669,331742,12809,"ms003_paden_1_85_paden silt loam, 2 to 5 percent slopes_c46c_0",385063,12809,331742,184056,85,"MS"
19988670,331743,12809,"ms003_providence_1_90_providence silt loam, 2 to 5 percent slopes, severely eroded_c46d_severely eroded",1449173,12809,331743,496453,90,"MS"
19988671,331744,12809,"ms003_unnamed hydric soils (134dr)_0_2_providence silt loam, 5 to 8 percent slopes_c46f_0",1449511,12809,331744,496455,2,"MS"
19988672,331744,12809,"ms003_providence_1_90_providence silt loam, 5 to 8 percent slopes_c46f_0",1449185,12809,331744,496455,90,"MS"
19988426,331746,12809,"ms003_paden_0_5_providence silt loam, heavy substratum, 2 to 5 percent slopes, severely eroded (dulac)_c46h_severely eroded",1404557,12809,331746,184060,5,"MS"
19988427,331746,12809,"ms003_providence_1_85_providence silt loam, heavy substratum, 2 to 5 percent slopes, severely eroded (dulac)_c46h_severely eroded",385067,12809,331746,184060,85,"MS"
19988428,331746,12809,"ms003_tippah_0_10_providence silt loam, heavy substratum, 2 to 5 percent slopes, severely eroded (dulac)_c46h_0",1319294,12809,331746,184060,10,"MS"
19988431,331747,12809,"ms003_paden_0_5_providence silt loam, heavy substratum, 5 to 8 percent slopes, severely eroded (dulac)_c46j_severely eroded",1404558,12809,331747,184061,5,"MS"
19988429,331747,12809,"ms003_tippah_0_10_providence silt loam, heavy substratum, 5 to 8 percent slopes, severely eroded (dulac)_c46j_0",1404559,12809,331747,184061,10,"MS"
19988430,331747,12809,"ms003_providence_1_85_providence silt loam, heavy substratum, 5 to 8 percent slopes, severely eroded (dulac)_c46j_severely eroded",385068,12809,331747,184061,85,"MS"
19988432,331748,12809,"ms003_wehadkee_0_7_rosebloom silt loam_c46k_0",1319301,12809,331748,184062,7,"MS"
19988433,331748,12809,"ms003_arkabutla_0_4_rosebloom silt loam_c46k_0",1317697,12809,331748,184062,4,"MS"
19988434,331748,12809,"ms003_rosebloom_1_85_rosebloom silt loam_c46k_0",385069,12809,331748,184062,85,"MS"
19988435,331748,12809,"ms003_mantachie_0_4_rosebloom silt loam_c46k_0",1564675,12809,331748,184062,4,"MS"
19988673,331749,12809,"ms003_arkabutla_1_31_rosebloom-arkabutla association, frequently flooded_c46l_0",1404563,12809,331749,184063,31,"MS"
19988674,331749,12809,"ms003_wehadkee_0_11_rosebloom-arkabutla association, frequently flooded_c46l_0",1404565,12809,331749,184063,11,"MS"
19988675,331749,12809,"ms003_mantachie_0_11_rosebloom-arkabutla association, frequently flooded_c46l_0",1564676,12809,331749,184063,11,"MS"
19988676,331749,12809,"ms003_rosebloom_1_47_rosebloom-arkabutla association, frequently flooded_c46l_0",385072,12809,331749,184063,47,"MS"
19988436,331750,12809,"ms003_unnamed hydric soils (133dr)_0_5_ruston fine sandy loam, 5 to 8 percent slopes_c46m_0",1466854,12809,331750,495180,5,"MS"
19988437,331750,12809,"ms003_ruston_1_95_ruston fine sandy loam, 5 to 8 percent slopes_c46m_0",1442356,12809,331750,495180,95,"MS"
19988677,331751,12809,"ms003_linker_1_31_ruston-linker association, hilly_c46n_0",385076,12809,331751,184065,31,"MS"
19988678,331751,12809,"ms003_ruston_1_35_ruston-linker association, hilly_c46n_0",1421394,12809,331751,184065,35,"MS"
19988679,331751,12809,"ms003_ora_0_14_ruston-linker association, hilly_c46n_0",1404583,12809,331751,184065,14,"MS"
19988680,331751,12809,"ms003_unnamed hydric soils (133dr)_0_10_ruston-linker association, hilly_c46n_0",1441998,12809,331751,184065,10,"MS"
19988546,331752,12809,"ms003_shubuta_1_19_ruston-shubuta-linker association, hilly_c46p_0",1404593,12809,331752,184066,19,"MS"
19988547,331752,12809,"ms003_unnamed hydric soils (133dr)_0_8_ruston-shubuta-linker association, hilly_c46p_0",1441999,12809,331752,184066,8,"MS"
19988548,331752,12809,"ms003_linker_1_17_ruston-shubuta-linker association, hilly_c46p_0",1404596,12809,331752,184066,17,"MS"
19988549,331752,12809,"ms003_ora_0_13_ruston-shubuta-linker association, hilly_c46p_0",1404585,12809,331752,184066,13,"MS"
19988550,331752,12809,"ms003_ruston_1_24_ruston-shubuta-linker association, hilly_c46p_0",1421397,12809,331752,184066,24,"MS"
19988812,331753,12809,"ms003_shubuta_1_85_shubuta loam, 2 to 5 percent slopes, eroded_c46q_0",385084,12809,331753,184067,85,"MS"
19988813,331753,12809,"ms003_providence_0_4_shubuta loam, 2 to 5 percent slopes, eroded_c46q_0",1319361,12809,331753,184067,4,"MS"
19988814,331753,12809,"ms003_tippah_0_7_shubuta loam, 2 to 5 percent slopes, eroded_c46q_0",1319375,12809,331753,184067,7,"MS"
19988815,331753,12809,"ms003_ora_0_4_shubuta loam, 2 to 5 percent slopes, eroded_c46q_0",1404600,12809,331753,184067,4,"MS"
19988816,331754,12809,"ms003_ora_0_4_shubuta clay loam, 8 to 12 percent slopes, severely eroded_c46r_severely eroded",1404601,12809,331754,184068,4,"MS"
19988817,331754,12809,"ms003_tippah_0_7_shubuta clay loam, 8 to 12 percent slopes, severely eroded_c46r_0",1404603,12809,331754,184068,7,"MS"
19988818,331754,12809,"ms003_providence_0_4_shubuta clay loam, 8 to 12 percent slopes, severely eroded_c46r_severely eroded",1404602,12809,331754,184068,4,"MS"
19988819,331754,12809,"ms003_shubuta_1_85_shubuta clay loam, 8 to 12 percent slopes, severely eroded_c46r_0",385085,12809,331754,184068,85,"MS"
19988820,331755,12809,"ms003_gullied land_1_45_sumter-gullied land complex, 8 to 25 percent slopes_c46s_0",385087,12809,331755,184069,45,"MS"
19988821,331755,12809,"ms003_sumter_1_55_sumter-gullied land complex, 8 to 25 percent slopes_c46s_0",1317755,12809,331755,184069,55,"MS"
19988822,331756,12809,"ms003_sumter_1_46_sumter-oktibbeha complex, 12 to 17 percent slopes, eroded_c46t_0",385088,12809,331756,184070,46,"MS"
19988823,331756,12809,"ms003_oktibbeha_1_44_sumter-oktibbeha complex, 12 to 17 percent slopes, eroded_c46t_0",385089,12809,331756,184070,44,"MS"
19988824,331757,12809,"ms003_tippah_1_46_tippah-providence complex, 2 to 8 percent slopes, severely eroded_c46v_0",385090,12809,331757,184071,46,"MS"
19988825,331757,12809,"ms003_providence_1_44_tippah-providence complex, 2 to 8 percent slopes, severely eroded_c46v_severely eroded",385091,12809,331757,184071,44,"MS"
19988681,331758,12809,"ms003_trinity_1_90_trinity silty clay (griffith)_c46w_0",385092,12809,331758,184072,90,"MS"
19988682,331758,12809,"ms003_unnamed hydric soils (135de)_0_10_trinity silty clay (griffith)_c46w_0",1442020,12809,331758,184072,10,"MS"
19988551,331759,12809,"ms003_rosebloom_0_10_wehadkee-mantachie association, frequently flooded (wehadkee, kinston)_c46x_0",1317695,12809,331759,184073,10,"MS"
19988552,331759,12809,"ms003_arkabutla_0_8_wehadkee-mantachie association, frequently flooded (wehadkee, kinston)_c46x_0",1317696,12809,331759,184073,8,"MS"
19988553,331759,12809,"ms003_wehadkee_1_47_wehadkee-mantachie association, frequently flooded (wehadkee, kinston)_c46x_0",385095,12809,331759,184073,47,"MS"
19988554,331759,12809,"ms003_mantachie_1_35_wehadkee-mantachie association, frequently flooded (wehadkee, kinston)_c46x_0",385096,12809,331759,184073,35,"MS"
19988683,331760,12809,"ms003_wehadkee_1_60_wehadkee-mantachie complex (wehadkee, kinston)_c46y_0",385099,12809,331760,184074,60,"MS"
19988684,331760,12809,"ms003_mantachie_1_40_wehadkee-mantachie complex (wehadkee, kinston)_c46y_0",385100,12809,331760,184074,40,"MS"
19988438,331761,12809,"ms003_water_1_100_water_c46z_0",1135785,12809,331761,194238,100,"MS"
19988555,331737,12809,"ms003_mantachie_1_95_mantachie fine sandy loam, 0 to 2 percent slopes, occasionally flooded_2sh4q_0",2198974,12809,2576587,674299,95,"MS"
19988556,331737,12809,"ms003_unnamed hydric soils (133fp)_0_5_mantachie fine sandy loam, 0 to 2 percent slopes, occasionally flooded_2sh4q_0",2198975,12809,2576587,674299,5,"MS"
19988685,331736,12809,"ms003_tuscumbia_0_10_leeper silty clay, 0 to 2 percent slopes, occasionally flooded_2shsn_0",2225425,12809,2577205,667455,10,"MS"
19988686,331736,12809,"ms003_leeper_1_85_leeper silty clay, 0 to 2 percent slopes, occasionally flooded_2shsn_0",2225424,12809,2577205,667455,85,"MS"
19988687,331736,12809,"ms003_griffith_0_5_leeper silty clay, 0 to 2 percent slopes, occasionally flooded_2shsn_0",2225426,12809,2577205,667455,5,"MS"
19988826,331738,12809,"ms003_savannah_0_5_ora fine sandy loam, 2 to 5 percent slopes, moderately eroded_2vxxj_0",2372489,12809,2649400,746395,5,"MS"
19988827,331738,12809,"ms003_smithdale_0_5_ora fine sandy loam, 2 to 5 percent slopes, moderately eroded_2vxxj_0",2372490,12809,2649400,746395,5,"MS"
19988828,331738,12809,"ms003_ora_1_90_ora fine sandy loam, 2 to 5 percent slopes, moderately eroded_2vxxj_0",2372488,12809,2649400,746395,90,"MS"
19988439,331745,12809,"ms003_ora_0_6_providence silt loam, 5 to 8 percent slopes, severely eroded_2vxxq_0",2372505,12809,2649406,746400,6,"MS"
19988440,331745,12809,"ms003_providence_1_90_providence silt loam, 5 to 8 percent slopes, severely eroded_2vxxq_0",2372504,12809,2649406,746400,90,"MS"
19988441,331745,12809,"ms003_lexington_0_4_providence silt loam, 5 to 8 percent slopes, severely eroded_2vxxq_0",2372506,12809,2649406,746400,4,"MS"
19988557,331731,12809,"ms003_arkabutla_1_93_arkabutla silt loam, 0 to 2 percent slopes, occasionally flooded_2w6fm_0",2397644,12809,2657587,755582,93,"MS"
19988558,331731,12809,"ms003_rosebloom_0_7_arkabutla silt loam, 0 to 2 percent slopes, occasionally flooded_2w6fm_0",2397646,12809,2657587,755582,7,"MS"
19989482,331764,12810,"ms007_rosebloom_1_90_rosebloom silt loam, ponded_c472_0",1371167,12810,331764,184900,90,"MS"
19989823,331766,12810,"ms007_chenneby_1_45_chenneby-rosebloom complex, frequently flooded_c474_0",1371168,12810,331766,184901,45,"MS"
19989824,331766,12810,"ms007_rosebloom_1_40_chenneby-rosebloom complex, frequently flooded_c474_0",1371169,12810,331766,184901,40,"MS"
19989838,331767,12810,"ms007_unnamed hydric soils (134de)_0_10_oaklimeter silt loam, occasionally flooded_c475_0",1449611,12810,331767,496580,10,"MS"
19989839,331767,12810,"ms007_oaklimeter_1_90_oaklimeter silt loam, occasionally flooded_c475_0",1449610,12810,331767,496580,90,"MS"
19989485,331768,12810,"ms007_chenneby_1_90_chenneby silt loam, frequently flooded_c476_0",1311132,12810,331768,469805,90,"MS"
19989486,331768,12810,"ms007_unnamed hydric soils (134fp)_0_10_chenneby silt loam, frequently flooded_c476_0",1508726,12810,331768,469805,10,"MS"
19989480,331771,12810,"ms007_unnamed hydric soils (133fp)_0_3_kirkville loam, occasionally flooded_c479_0",1508803,12810,331771,184893,3,"MS"
19989481,331771,12810,"ms007_kirkville_1_90_kirkville loam, occasionally flooded_c479_0",386346,12810,331771,184893,90,"MS"
19990010,331772,12810,"ms007_grenada_1_90_grenada silt loam, 1 to 3 percent slopes, eroded_c47b_0",386369,12810,331772,184904,90,"MS"
19990011,331772,12810,"ms007_unnamed hydric soils (134de)_0_3_grenada silt loam, 1 to 3 percent slopes, eroded_c47b_0",1508730,12810,331772,184904,3,"MS"
19990018,331774,12810,"ms007_calloway_1_90_calloway silt loam, 0 to 2 percent slopes_c47d_0",1448498,12810,331774,496326,90,"MS"
19990019,331774,12810,"ms007_unnamed hydric soils (134de)_0_3_calloway silt loam, 0 to 2 percent slopes_c47d_0",1448501,12810,331774,496326,3,"MS"
19989825,331776,12810,"ms007_calloway_1_55_calloway and deerford soils, 0 to 2 percent slopes_c47g_0",1371509,12810,331776,184908,55,"MS"
19989826,331776,12810,"ms007_unnamed hydric soils (134de)_0_3_calloway and deerford soils, 0 to 2 percent slopes_c47g_0",1451166,12810,331776,184908,3,"MS"
19989827,331776,12810,"ms007_deerford_1_30_calloway and deerford soils, 0 to 2 percent slopes_c47g_0",1371505,12810,331776,184908,30,"MS"
19989833,331780,12810,"ms007_providence_1_90_providence silt loam, 8 to 15 percent slopes, severely eroded_c47l_0",1813143,12810,331780,483276,90,"MS"
19989834,331780,12810,"ms007_unnamed hydric soils (134dr)_0_2_providence silt loam, 8 to 15 percent slopes, severely eroded_c47l_0",1813144,12810,331780,483276,2,"MS"
19990016,331782,12810,"ms007_ariel_1_90_ariel silt loam, occasionally flooded_c47n_0",1448056,12810,331782,496308,90,"MS"
19990017,331782,12810,"ms007_unnamed hydric soils (134fp)_0_10_ariel silt loam, occasionally flooded_c47n_0",1448057,12810,331782,496308,10,"MS"
19989673,331783,12810,"ms007_tippah_1_90_tippah silt loam, 2 to 5 percent slopes, eroded_c47p_0",386384,12810,331783,184914,90,"MS"
19989487,331785,12810,"ms007_unnamed hydric soils (134dr)_0_2_tippah silt loam, 5 to 15 percent slopes, eroded_c47r_0",1508731,12810,331785,483277,2,"MS"
19989488,331785,12810,"ms007_tippah_1_90_tippah silt loam, 5 to 15 percent slopes, eroded_c47r_0",1371542,12810,331785,483277,90,"MS"
19989828,331788,12810,"ms007_unnamed hydric soils (133dr)_0_2_ora loam, 8 to 15 percent slopes, eroded_c47v_0",1508814,12810,331788,184919,2,"MS"
19989829,331788,12810,"ms007_ora_1_90_ora loam, 8 to 15 percent slopes, eroded_c47v_0",386389,12810,331788,184919,90,"MS"
19990012,331789,12810,"ms007_unnamed hydric soils (133dr)_0_2_sweatman loam, 5 to 8 percent slopes, eroded_c47w_0",1508815,12810,331789,184920,2,"MS"
19990013,331789,12810,"ms007_sweatman_1_90_sweatman loam, 5 to 8 percent slopes, eroded_c47w_0",386390,12810,331789,184920,90,"MS"
19990014,331790,12810,"ms007_sweatman_1_90_sweatman loam, 8 to 15 percent slopes, eroded_c47x_0",386391,12810,331790,184921,90,"MS"
19990015,331790,12810,"ms007_unnamed hydric soils (133dr)_0_2_sweatman loam, 8 to 15 percent slopes, eroded_c47x_0",1508816,12810,331790,184921,2,"MS"
19989489,331791,12810,"ms007_unnamed hydric soils (134de)_0_10_gillsburg silt loam, occasionally flooded_c47y_0",1448548,12810,331791,496336,10,"MS"
19989490,331791,12810,"ms007_gillsburg_1_90_gillsburg silt loam, occasionally flooded_c47y_0",1448547,12810,331791,496336,90,"MS"
19989835,331792,12810,"ms007_sweatman_1_35_smithdale-sweatman complex, 8 to 15 percent slopes, eroded_c47z_0",1371554,12810,331792,483278,35,"MS"
19989836,331792,12810,"ms007_unnamed hydric soils (133dr)_0_2_smithdale-sweatman complex, 8 to 15 percent slopes, eroded_c47z_0",1508817,12810,331792,483278,2,"MS"
19989837,331792,12810,"ms007_smithdale_1_50_smithdale-sweatman complex, 8 to 15 percent slopes, eroded_c47z_0",1371553,12810,331792,483278,50,"MS"
19989830,331794,12810,"ms007_smithdale_1_35_smithdale-udorthents complex, gullied_c481_0",386398,12810,331794,184924,35,"MS"
19989831,331794,12810,"ms007_udorthents_1_25_smithdale-udorthents complex, gullied_c481_0",386399,12810,331794,184924,25,"MS"
19989832,331794,12810,"ms007_unnamed hydric soils (133dr)_0_2_smithdale-udorthents complex, gullied_c481_0",1508820,12810,331794,184924,2,"MS"
19989483,331796,12810,"ms007_unnamed hydric soils (134de)_0_10_calhoun silt loam, 0 to 1 percent slopes_c483_0",1508733,12810,331796,184925,10,"MS"
19989484,331796,12810,"ms007_calhoun_1_90_calhoun silt loam, 0 to 1 percent slopes_c483_0",386401,12810,331796,184925,90,"MS"
19989674,331797,12810,"ms007_water_1_100_water_c484_0",1371579,12810,331797,483279,100,"MS"
19989675,331795,12810,"ms007_mantachie_1_95_mantachie loam, 0 to 2 percent slopes, occasionally flooded_2sbc3_0",2174127,12810,2571980,663523,95,"MS"
19989676,331795,12810,"ms007_iuka_0_2_mantachie loam, 0 to 2 percent slopes, occasionally flooded_2sbc3_0",2174130,12810,2571980,663523,2,"MS"
19989677,331795,12810,"ms007_kinston_0_3_mantachie loam, 0 to 2 percent slopes, occasionally flooded_2sbc3_0",2174131,12810,2571980,663523,3,"MS"
19990020,331769,12810,"ms007_smithdale_1_90_smithdale fine sandy loam, 8 to 15 percent slopes_2shrx_0",2181349,12810,2577182,667427,90,"MS"
19990021,331769,12810,"ms007_bibb_0_3_smithdale fine sandy loam, 8 to 15 percent slopes_2shrx_0",2154618,12810,2577182,667427,3,"MS"
19990022,331769,12810,"ms007_sweatman_0_4_smithdale fine sandy loam, 8 to 15 percent slopes_2shrx_0",2154620,12810,2577182,667427,4,"MS"
19990023,331769,12810,"ms007_rutan_0_3_smithdale fine sandy loam, 8 to 15 percent slopes_2shrx_0",2329766,12810,2577182,667427,3,"MS"
19990024,331770,12810,"ms007_bibb_0_5_smithdale fine sandy loam, 15 to 40 percent slopes_2shry_0",2154621,12810,2577183,667429,5,"MS"
19990025,331770,12810,"ms007_sweatman_0_5_smithdale fine sandy loam, 15 to 40 percent slopes_2shry_0",2154622,12810,2577183,667429,5,"MS"
19990026,331770,12810,"ms007_smithdale_1_90_smithdale fine sandy loam, 15 to 40 percent slopes_2shry_0",2154610,12810,2577183,667429,90,"MS"
19989840,331778,12810,"ms007_ora_0_6_providence silt loam, 5 to 8 percent slopes, moderately eroded_2sht1_0",2327580,12810,2577217,667471,6,"MS"
19989841,331778,12810,"ms007_providence_1_90_providence silt loam, 5 to 8 percent slopes, moderately eroded_2sht1_0",2327577,12810,2577217,667471,90,"MS"
19989842,331778,12810,"ms007_smithdale_0_4_providence silt loam, 5 to 8 percent slopes, moderately eroded_2sht1_0",2327578,12810,2577217,667471,4,"MS"
19990027,331799,12810,"ms007_mantachie_1_90_mantachie loam, 0 to 2 percent slopes, frequently flooded_2sht5_0",2327589,12810,2577221,667476,90,"MS"
19990028,331799,12810,"ms007_kirkville_0_5_mantachie loam, 0 to 2 percent slopes, frequently flooded_2sht5_0",2327591,12810,2577221,667476,5,"MS"
19990029,331799,12810,"ms007_kinston_0_5_mantachie loam, 0 to 2 percent slopes, frequently flooded_2sht5_0",2327590,12810,2577221,667476,5,"MS"
19989843,331777,12810,"ms007_ruston_0_5_providence silt loam, 2 to 5 percent slopes, moderately eroded_2shtb_0",2327608,12810,2577226,667480,5,"MS"
19989844,331777,12810,"ms007_providence_1_90_providence silt loam, 2 to 5 percent slopes, moderately eroded_2shtb_0",2327604,12810,2577226,667480,90,"MS"
19989845,331777,12810,"ms007_ora_0_5_providence silt loam, 2 to 5 percent slopes, moderately eroded_2shtb_0",2327605,12810,2577226,667480,5,"MS"
19989846,331793,12810,"ms007_bibb_0_5_smithdale-sweatman complex, 15 to 35 percent slopes, eroded_2tjkf_0",2265755,12810,2607733,700833,5,"MS"
19989847,331793,12810,"ms007_smithdale_1_55_smithdale-sweatman complex, 15 to 35 percent slopes, eroded_2tjkf_0",2265741,12810,2607733,700833,55,"MS"
19989848,331793,12810,"ms007_sweatman_1_40_smithdale-sweatman complex, 15 to 35 percent slopes, eroded_2tjkf_0",2265742,12810,2607733,700833,40,"MS"
19989849,331787,12810,"ms007_ruston_0_5_ora loam, 5 to 8 percent slopes, eroded_2tjkm_0",2265772,12810,2607739,700838,5,"MS"
19989850,331787,12810,"ms007_ora_1_90_ora loam, 5 to 8 percent slopes, eroded_2tjkm_0",2265771,12810,2607739,700838,90,"MS"
19989851,331787,12810,"ms007_savannah_0_5_ora loam, 5 to 8 percent slopes, eroded_2tjkm_0",2265778,12810,2607739,700838,5,"MS"
19989678,331763,12810,"ms007_bibb_0_5_kinston loam, 0 to 2 percent slopes, frequently flooded_2tjlq_0",2394464,12810,2607773,700879,5,"MS"
19989679,331763,12810,"ms007_mantachie_0_3_kinston loam, 0 to 2 percent slopes, frequently flooded_2tjlq_0",2408253,12810,2607773,700879,3,"MS"
19989680,331763,12810,"ms007_kinston_1_90_kinston loam, 0 to 2 percent slopes, frequently flooded_2tjlq_0",2394463,12810,2607773,700879,90,"MS"
19989681,331763,12810,"ms007_kirkville_0_2_kinston loam, 0 to 2 percent slopes, frequently flooded_2tjlq_0",2394475,12810,2607773,700879,2,"MS"
19989493,331781,12810,"ms007_bibb_0_3_stough loam, 0 to 2 percent slopes_2w9wx_0",2439272,12810,2660913,759810,3,"MS"
19989494,331781,12810,"ms007_stough_1_90_stough loam, 0 to 2 percent slopes_2w9wx_0",2439269,12810,2660913,759810,90,"MS"
19989495,331781,12810,"ms007_quitman_0_4_stough loam, 0 to 2 percent slopes_2w9wx_0",2439273,12810,2660913,759810,4,"MS"
19989496,331781,12810,"ms007_mantachie_0_3_stough loam, 0 to 2 percent slopes_2w9wx_0",2439274,12810,2660913,759810,3,"MS"
19989682,331762,12810,"ms007_arkabutla_1_35_rosebloom-arkabutla association, 0 to 2 percent slopes, frequently flooded_2x59j_0",2501197,12810,2686290,789486,35,"MS"
19989683,331762,12810,"ms007_mathiston_0_5_rosebloom-arkabutla association, 0 to 2 percent slopes, frequently flooded_2x59j_0",2501199,12810,2686290,789486,5,"MS"
19989684,331762,12810,"ms007_rosebloom_1_52_rosebloom-arkabutla association, 0 to 2 percent slopes, frequently flooded_2x59j_0",2501200,12810,2686290,789486,52,"MS"
19989685,331762,12810,"ms007_mantachie_0_3_rosebloom-arkabutla association, 0 to 2 percent slopes, frequently flooded_2x59j_0",2501201,12810,2686290,789486,3,"MS"
19989686,331762,12810,"ms007_kinston_0_5_rosebloom-arkabutla association, 0 to 2 percent slopes, frequently flooded_2x59j_0",2501202,12810,2686290,789486,5,"MS"
19988232,331802,12811,"ms009_calhoun_1_90_calhoun silt loam_c489_0",382510,12811,331802,182630,90,"MS"
19988233,331802,12811,"ms009_calloway_0_2_calhoun silt loam_c489_0",1468528,12811,331802,182630,2,"MS"
19988234,331802,12811,"ms009_grenada_0_2_calhoun silt loam_c489_0",1468529,12811,331802,182630,2,"MS"
19987955,331805,12811,"ms009_grenada_1_90_grenada silt loam, 2 to 5 percent slopes_c48d_0",1451077,12811,331805,496800,90,"MS"
19988092,331806,12811,"ms009_unnamed hydric soils (134dr)_0_2_grenada silt loam, 5 to 8 percent slopes, eroded_c48f_0",1540548,12811,331806,496807,2,"MS"
19988093,331806,12811,"ms009_grenada_1_90_grenada silt loam, 5 to 8 percent slopes, eroded_c48f_0",1451123,12811,331806,496807,90,"MS"
19987810,331807,12811,"ms009_jena_1_46_jena and ochlockonee soils_c48g_0",382520,12811,331807,182635,46,"MS"
19987811,331807,12811,"ms009_ochlockonee_1_22_jena and ochlockonee soils_c48g_0",382521,12811,331807,182635,22,"MS"
19987812,331807,12811,"ms009_unnamed hydric soils (134de)_0_5_jena and ochlockonee soils_c48g_0",1430383,12811,331807,182635,5,"MS"
19987813,331811,12811,"ms009_loring_1_90_loring silt loam, 2 to 5 percent slopes_c48l_0",1443328,12811,331811,495427,90,"MS"
19987952,331812,12811,"ms009_mantachie_1_50_mantachie and kirkville soils_c48m_0",382530,12811,331812,182640,50,"MS"
19987953,331812,12811,"ms009_kirkville_1_20_mantachie and kirkville soils_c48m_0",382531,12811,331812,182640,20,"MS"
19987954,331812,12811,"ms009_unnamed hydric soils (134de)_0_5_mantachie and kirkville soils_c48m_0",1430394,12811,331812,182640,5,"MS"
19988091,331814,12811,"ms009_providence_1_90_providence silt loam, 2 to 5 percent slopes, eroded_c48p_0",1449153,12811,331814,496448,90,"MS"
19988235,331819,12811,"ms009_unnamed hydric soils (134dr)_0_5_smithdale-lexington complex, 12 to 17 percent slopes, eroded_c48v_0",1441412,12811,331819,182647,5,"MS"
19988236,331819,12811,"ms009_smithdale_1_44_smithdale-lexington complex, 12 to 17 percent slopes, eroded_c48v_0",382549,12811,331819,182647,44,"MS"
19988237,331819,12811,"ms009_lexington_1_37_smithdale-lexington complex, 12 to 17 percent slopes, eroded_c48v_0",382550,12811,331819,182647,37,"MS"
19988239,331820,12811,"ms009_udorthents_1_56_udorthents-lexington complex, 5 to 25 percent slopes, severely eroded_c48w_severely eroded",382551,12811,331820,182648,56,"MS"
